stream_m3s,day,month,year,date,streamflow
1.6423744,17,9,1948,1948-09-17,0.03604479479780532
1.699008,18,9,1948,1948-09-18,0.03728771875635034
2.0671264,19,9,1948,1948-09-19,0.045366724486892905
1.8972256,20,9,1948,1948-09-20,0.04163795261125788
1.8689088,21,9,1948,1948-09-21,0.04101649063198537
1.7556416,22,9,1948,1948-09-22,0.03853064271489535
1.7273247999999999,23,9,1948,1948-09-23,0.03790918073562284
1.7273247999999999,24,9,1948,1948-09-24,0.03790918073562284
1.7273247999999999,25,9,1948,1948-09-25,0.03790918073562284
1.699008,26,9,1948,1948-09-26,0.03728771875635034
1.6423744,27,9,1948,1948-09-27,0.03604479479780532
1.6423744,28,9,1948,1948-09-28,0.03604479479780532
1.6140576,29,9,1948,1948-09-29,0.03542333281853281
1.6140576,30,9,1948,1948-09-30,0.03542333281853281
1.6140576,1,10,1948,1948-10-01,0.03542333281853281
1.6140576,2,10,1948,1948-10-02,0.03542333281853281
1.557424,3,10,1948,1948-10-03,0.034180408859987806
1.557424,4,10,1948,1948-10-04,0.034180408859987806
1.557424,5,10,1948,1948-10-05,0.034180408859987806
1.557424,6,10,1948,1948-10-06,0.034180408859987806
1.557424,7,10,1948,1948-10-07,0.034180408859987806
1.699008,8,10,1948,1948-10-08,0.03728771875635034
2.8599968,9,10,1948,1948-10-09,0.06276765990652305
2.0671264,10,10,1948,1948-10-10,0.045366724486892905
1.982176,11,10,1948,1948-10-11,0.043502338549075384
1.9255423999999999,12,10,1948,1948-10-12,0.04225941459053038
1.8122752,13,10,1948,1948-10-13,0.039773566673440355
1.8122752,14,10,1948,1948-10-14,0.039773566673440355
1.7556416,15,10,1948,1948-10-15,0.03853064271489535
1.7273247999999999,16,10,1948,1948-10-16,0.03790918073562284
1.7556416,17,10,1948,1948-10-17,0.03853064271489535
2.690096,18,10,1948,1948-10-18,0.05903888803088803
2.4918784,19,10,1948,1948-10-19,0.05468865417598049
2.12376,20,10,1948,1948-10-20,0.04660964844543792
2.2087104,21,10,1948,1948-10-21,0.04847403438325544
2.1520768,22,10,1948,1948-10-22,0.047231110424710426
1.9255423999999999,23,10,1948,1948-10-23,0.04225941459053038
1.8972256,24,10,1948,1948-10-24,0.04163795261125788
1.9255423999999999,25,10,1948,1948-10-25,0.04225941459053038
1.9255423999999999,26,10,1948,1948-10-26,0.04225941459053038
1.8972256,27,10,1948,1948-10-27,0.04163795261125788
1.8972256,28,10,1948,1948-10-28,0.04163795261125788
1.9255423999999999,29,10,1948,1948-10-29,0.04225941459053038
1.699008,30,10,1948,1948-10-30,0.03728771875635034
1.7273247999999999,31,10,1948,1948-10-31,0.03790918073562284
1.7556416,1,11,1948,1948-11-01,0.03853064271489535
1.7556416,2,11,1948,1948-11-02,0.03853064271489535
1.7273247999999999,3,11,1948,1948-11-03,0.03790918073562284
2.4918784,4,11,1948,1948-11-04,0.05468865417598049
3.8510847999999998,5,11,1948,1948-11-05,0.08451882918106075
2.690096,6,11,1948,1948-11-06,0.05903888803088803
7.1358336,7,11,1948,1948-11-07,0.15660841877667142
4.8704896,8,11,1948,1948-11-08,0.10689146043487095
3.114848,9,11,1948,1948-11-09,0.06836081771997561
4.530688,10,11,1948,1948-11-10,0.09943391668360088
9.0330592,11,11,1948,1948-11-11,0.19824637138792928
4.6439552,12,11,1948,1948-11-12,0.10191976460069091
3.4546495999999998,13,11,1948,1948-11-13,0.07581836147124568
3.0582143999999998,14,11,1948,1948-11-14,0.0671178937614306
2.8033632,15,11,1948,1948-11-15,0.061524735947978054
2.6617792,16,11,1948,1948-11-16,0.05841742605161552
2.6051456,17,11,1948,1948-11-17,0.05717450209307052
2.6051456,18,11,1948,1948-11-18,0.05717450209307052
2.7750464,19,11,1948,1948-11-19,0.06090327396870555
21.3225504,20,11,1948,1948-11-20,0.46796087039219675
18.6324544,21,11,1948,1948-11-21,0.40892198236130867
9.1463264,22,11,1948,1948-11-22,0.20073221930501928
9.5144448,23,11,1948,1948-11-23,0.20881122503556188
8.5233568,24,11,1948,1948-11-24,0.1870600557610242
6.4845472,25,11,1948,1948-11-25,0.14231479325340377
5.4651423999999995,26,11,1948,1948-11-26,0.11994216199959357
9.344543999999999,27,11,1948,1948-11-27,0.20508245315992682
8.8065248,28,11,1948,1948-11-28,0.19327467555374925
6.3429632,29,11,1948,1948-11-29,0.13920748335704125
5.3235584,30,11,1948,1948-11-30,0.11683485210323104
4.8988064,1,12,1948,1948-12-01,0.10751292241414347
4.530688,2,12,1948,1948-12-02,0.09943391668360088
4.2758367999999995,3,12,1948,1948-12-03,0.09384075887014834
4.105936,4,12,1948,1948-12-04,0.09011198699451331
3.8510847999999998,5,12,1948,1948-12-05,0.08451882918106075
4.3324704,6,12,1948,1948-12-06,0.09508368282869335
5.8898944,7,12,1948,1948-12-07,0.12926409168868117
4.7289056,8,12,1948,1948-12-08,0.10378415053850842
4.1625696,9,12,1948,1948-12-09,0.09135491095305834
3.7378176,10,12,1948,1948-12-10,0.08203298126397074
3.5679168,11,12,1948,1948-12-11,0.07830420938833571
3.5679168,12,12,1948,1948-12-12,0.07830420938833571
4.8421728,13,12,1948,1948-12-13,0.10626999845559845
4.2192032,14,12,1948,1948-12-14,0.09259783491160334
3.4546495999999998,15,12,1948,1948-12-15,0.07581836147124568
3.5112832,16,12,1948,1948-12-16,0.0770612854297907
3.5679168,17,12,1948,1948-12-17,0.07830420938833571
3.3413824,18,12,1948,1948-12-18,0.07333251355415565
2.6617792,19,12,1948,1948-12-19,0.05841742605161552
3.114848,20,12,1948,1948-12-20,0.06836081771997561
2.83168,21,12,1948,1948-12-21,0.062146197927250554
3.2847488,22,12,1948,1948-12-22,0.07208958959561064
3.114848,23,12,1948,1948-12-23,0.06836081771997561
2.8033632,24,12,1948,1948-12-24,0.061524735947978054
2.548512,25,12,1948,1948-12-25,0.055931578134525504
2.83168,26,12,1948,1948-12-26,0.062146197927250554
2.973264,27,12,1948,1948-12-27,0.06525350782361308
3.0865312,28,12,1948,1948-12-28,0.06773935574070311
4.6722719999999995,29,12,1948,1948-12-29,0.10254122657996341
91.463264,30,12,1948,1948-12-30,2.007322193050193
168.768128,31,12,1948,1948-12-31,3.703913396464133
97.12662399999999,1,1,1949,1949-01-01,2.131614588904694
